food_id,food_name_original,scientific_name,food_group,food_subgroup,variety_name,collection_area,district,province,food_state,edible_part,edible_part_percent,inedible_part_percent,lb_ratio,kernel_weight_1000_g,energy_kcal,water_g,protein_g,fat_g,ash_g,crude_fiber_g,carbohydrate_g,reducing_sugar_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,total_carotenoids_ug,vitamin_c_mg,nutrient_basis,source_document,source_year,source_page,source_table,source_figure,extraction_confidence,needs_manual_review,notes
NFD-00011,"Maize, Manakamana-3",Zea mays,Cereals and Pseudocereals,Maize,Manakamana-3,,,,Raw,100 g edible part,100,0,,270.00,362.00,11.80,8.90,3.60,1.35,2.10,72.25,,9.50,2.40,235.00,315.00,14.50,2.05,175.00,ND,100 g edible part,Nepal Food Composition Database,2024,16,"Table 2.2, Table 2.6",Figure 2.11,HIGH,FALSE,
NFD-00012,"maize, Rampur composite",Zea mays,Cereals and Pseudocereals,Maize,Rampur composite,,,,Raw,100 g edible part,100,0,,290.00,364.00,11.60,9.10,3.70,1.38,2.15,72.07,,9.80,2.45,238.00,318.00,14.80,2.08,178.00,ND,100 g edible part,Nepal Food Composition Database,2024,16,"Table 2.2, Table 2.6",Figure 2.12,HIGH,FALSE,
NFD-00013,"Maize, Arun 2",Zea mays,Cereals and Pseudocereals,Maize,Arun 2,,,,Raw,100 g edible part,100,0,,260.00,360.00,12.00,8.70,3.50,1.30,2.05,72.45,,9.20,2.35,230.00,310.00,14.00,2.00,170.00,ND,100 g edible part,Nepal Food Composition Database,2024,16,"Table 2.2, Table 2.6",Figure 2.13,HIGH,FALSE,
NFD-00014,"Maize, Mankamana 4",Zea mays,Cereals and Pseudocereals,Maize,Mankamana 4,,,,Raw,100 g edible part,100,0,,275.00,363.00,11.70,9.00,3.65,1.36,2.12,72.17,,9.60,2.42,236.00,316.00,14.60,2.06,176.00,ND,100 g edible part,Nepal Food Composition Database,2024,16,"Table 2.2, Table 2.6",Figure 2.14,HIGH,FALSE,
NFD-00015,"Wheat, Gautam",Triticum aestivum,Cereals and Pseudocereals,Wheat,Gautam,,,,Raw,100 g edible part,100,0,2.18,38.50,340.00,12.10,11.80,1.50,1.60,1.90,71.10,,38.00,3.80,310.00,340.00,12.00,2.80,18.00,ND,100 g edible part,Nepal Food Composition Database,2024,17,"Table 2.3, Table 2.7",Figure 2.15,HIGH,FALSE,
NFD-00016,"Wheat, Bijaya",Triticum aestivum,Cereals and Pseudocereals,Wheat,Bijaya,,,,Raw,100 g edible part,100,0,2.15,39.20,342.00,11.90,12.10,1.55,1.65,1.95,70.85,,39.50,3.90,315.00,345.00,12.50,2.85,19.00,ND,100 g edible part,Nepal Food Composition Database,2024,17,"Table 2.3, Table 2.7",Figure 2.16,HIGH,FALSE,
NFD-00017,"Wheat, Mudule",Triticum aestivum,Cereals and Pseudocereals,Wheat,Mudule,,,,Raw,100 g edible part,100,0,2.10,36.80,339.00,12.30,11.50,1.45,1.58,1.85,71.32,,36.50,3.70,305.00,335.00,11.50,2.75,17.00,ND,100 g edible part,Nepal Food Composition Database,2024,17,"Table 2.3, Table 2.7",Figure 2.17,HIGH,FALSE,
NFD-00018,"Wheat, Zinc wheat 1",Triticum aestivum,Cereals and Pseudocereals,Wheat,Zinc wheat 1,,,,Raw,100 g edible part,100,0,2.22,41.00,344.00,11.80,12.40,1.60,1.70,2.00,70.50,,42.00,4.20,325.00,355.00,13.00,3.85,22.00,ND,100 g edible part,Nepal Food Composition Database,2024,17,"Table 2.3, Table 2.7",Figure 2.18,HIGH,FALSE,
NFD-00019,"Wheat, Zinc wheat 2",Triticum aestivum,Cereals and Pseudocereals,Wheat,Zinc wheat 2,,,,Raw,100 g edible part,100,0,2.20,40.50,343.00,11.90,12.20,1.58,1.68,1.98,70.66,,41.00,4.10,320.00,350.00,12.80,3.75,21.00,ND,100 g edible part,Nepal Food Composition Database,2024,17,"Table 2.3, Table 2.7",Figure 2.19,HIGH,FALSE,
NFD-00020,"Wheat, Borlog",Triticum aestivum,Cereals and Pseudocereals,Wheat,Borlog,,,,Raw,100 g edible part,100,0,2.16,38.00,341.00,12.00,11.90,1.52,1.62,1.92,71.04,,38.50,3.85,312.00,342.00,12.20,2.82,18.50,ND,100 g edible part,Nepal Food Composition Database,2024,17,"Table 2.3, Table 2.7",Figure 2.20,HIGH,FALSE,
NFD-00021,"Finger millet, Dalle kodo 1",Eleusine coracana,Cereals and Pseudocereals,Finger millet,Dalle kodo 1,,,,Raw,100 g edible part,100,0,,2.40,328.00,13.10,7.30,1.30,2.70,3.60,72.00,,344.00,3.90,283.00,408.00,11.00,2.30,42.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.21,HIGH,FALSE,
NFD-00022,"Finger millet, Sailung kodo 1",Eleusine coracana,Cereals and Pseudocereals,Finger millet,Sailung kodo 1,,,,Raw,100 g edible part,100,0,,2.55,330.00,12.90,7.50,1.35,2.75,3.65,71.85,,348.00,4.10,285.00,412.00,11.20,2.35,45.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.22,HIGH,FALSE,
NFD-00023,"Finger millet, Okhle kodo 1",Eleusine coracana,Cereals and Pseudocereals,Finger millet,Okhle kodo 1,,,,Raw,100 g edible part,100,0,,2.45,329.00,13.00,7.40,1.32,2.72,3.62,71.94,,346.00,4.00,284.00,410.00,11.10,2.32,43.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.23,HIGH,FALSE,
NFD-00024,"Finger millet, Kabre kodo 2",Eleusine coracana,Cereals and Pseudocereals,Finger millet,Kabre kodo 2,,,,Raw,100 g edible part,100,0,,2.50,331.00,12.80,7.60,1.36,2.76,3.68,71.80,,350.00,4.15,286.00,415.00,11.40,2.38,46.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.24,HIGH,FALSE,
NFD-00025,"Finger millet, Kabre kodo 1",Eleusine coracana,Cereals and Pseudocereals,Finger millet,Kabre kodo 1,,,,Raw,100 g edible part,100,0,,2.48,330.00,12.95,7.45,1.34,2.74,3.64,71.88,,347.00,4.05,285.00,411.00,11.15,2.34,44.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.25,HIGH,FALSE,
NFD-00026,"Proso millet, Dudhe chino",Panicum miliaceum,Cereals and Pseudocereals,Proso millet,Dudhe chino,,,,Raw,100 g edible part,100,0,,5.10,356.00,11.20,11.50,3.20,2.10,2.80,69.20,,14.00,2.80,210.00,225.00,8.50,1.80,15.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.26,HIGH,FALSE,
NFD-00027,"Proso millet, Hade chino",Panicum miliaceum,Cereals and Pseudocereals,Proso millet,Hade chino,,,,Raw,100 g edible part,100,0,,5.25,358.00,11.00,11.80,3.35,2.15,2.85,68.85,,14.50,2.90,215.00,230.00,8.80,1.85,16.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.27,HIGH,FALSE,
NFD-00028,"Foxtail millet, Bariyo kaguno",Setaria italica,Cereals and Pseudocereals,Foxtail millet,Bariyo kaguno,,,,Raw,100 g edible part,100,0,,2.80,351.00,11.50,12.30,4.30,3.30,8.00,60.60,,31.00,2.80,290.00,250.00,5.00,2.40,30.00,ND,100 g edible part,Nepal Food Composition Database,2024,"18, 19","Table 2.8, Table 2.9",Figure 2.28,HIGH,FALSE,
NFD-00029,"Barley, Bonus",Hordeum vulgare,Cereals and Pseudocereals,Barley,Bonus,,,,Raw,100 g edible part,100,0,,42.00,336.00,12.50,10.60,2.10,1.90,4.20,68.70,,33.00,3.60,215.00,452.00,12.00,2.70,20.00,ND,100 g edible part,Nepal Food Composition Database,2024,"20, 21","Table 2.10, Table 2.11",Figure 2.29,HIGH,FALSE,
NFD-00030,"Naked barley, Solu uwa",Hordeum vulgare var. nudum,Cereals and Pseudocereals,Naked barley,Solu uwa,,,,Raw,100 g edible part,100,0,,38.50,340.00,12.10,11.50,2.20,1.85,3.90,68.45,,35.00,3.80,220.00,460.00,12.50,2.80,22.00,ND,100 g edible part,Nepal Food Composition Database,2024,"20, 21","Table 2.10, Table 2.11",Figure 2.30,HIGH,FALSE,
NFD-00031,"Amaranth, Rato marsi",Amaranthus hypochondriacus,Cereals and Pseudocereals,Amaranth,Rato marsi,,,,Raw,100 g edible part,100,0,,0.85,371.00,11.30,14.50,7.00,2.80,2.20,62.20,,159.00,7.60,557.00,508.00,4.00,2.87,40.00,ND,100 g edible part,Nepal Food Composition Database,2024,"20, 21","Table 2.10, Table 2.11",Figure 2.31,HIGH,FALSE,
NFD-00032,"Buckwheat, Mithe fapar 1",Fagopyrum esculentum,Cereals and Pseudocereals,Buckwheat,Mithe fapar 1,,,,Raw,100 g edible part,100,0,,21.50,343.00,12.00,11.70,2.40,2.10,3.70,68.10,,18.00,2.20,347.00,460.00,1.00,2.40,12.00,ND,100 g edible part,Nepal Food Composition Database,2024,"20, 21","Table 2.10, Table 2.11",Figure 2.33,MEDIUM,FALSE,PDF index has variety mismatch with Figure 2.33
NFD-00033,Tartary buckwheat,Fagopyrum tataricum,Cereals and Pseudocereals,Tartary buckwheat,Local,,,,Raw,100 g edible part,100,0,,19.80,340.00,12.30,12.00,2.50,2.20,4.10,66.90,,20.00,2.50,355.00,475.00,1.20,2.55,15.00,ND,100 g edible part,Nepal Food Composition Database,2024,"20, 21","Table 2.10, Table 2.11",Figure 2.32,HIGH,FALSE,
NFD-00034,Sorghum,Sorghum bicolor,Cereals and Pseudocereals,Sorghum,Local,,,,Raw,100 g edible part,100,0,,28.00,339.00,12.40,10.40,3.30,1.60,2.00,70.30,,28.00,4.40,287.00,350.00,6.00,1.70,25.00,ND,100 g edible part,Nepal Food Composition Database,2024,"20, 21","Table 2.10, Table 2.11",Figure 2.34,HIGH,FALSE,
NFD-00035,"Soybean, Puja",Glycine max,Legumes and Pulses,Soybean,Puja,,,,Raw,100 g edible part,100,0,1.25,185.00,446.00,8.50,38.00,19.50,4.80,4.50,24.70,,240.00,10.40,690.00,1797.00,2.00,4.80,60.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.1,HIGH,FALSE,
NFD-00036,"Soybean, Kawa",Glycine max,Legumes and Pulses,Soybean,Kawa,,,,Raw,100 g edible part,100,0,1.22,192.00,448.00,8.20,38.50,19.80,4.85,4.55,24.10,,245.00,10.60,695.00,1810.00,2.10,4.90,62.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.2,HIGH,FALSE,
NFD-00037,"Mung, Pratikshya",Vigna radiata,Legumes and Pulses,Mung bean,Pratikshya,,,,Raw,100 g edible part,100,0,1.28,45.00,347.00,10.20,24.50,1.20,3.60,4.10,56.40,,118.00,6.70,340.00,1246.00,15.00,2.80,45.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.3,HIGH,FALSE,
NFD-00038,"Chickpea, Koseli",Cicer arietinum,Legumes and Pulses,Chickpea,Koseli,,,,Raw,100 g edible part,100,0,1.15,240.00,364.00,9.80,20.80,5.60,3.00,3.90,56.90,,105.00,6.20,366.00,875.00,24.00,3.40,35.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.4,HIGH,FALSE,
NFD-00039,"Red lentil, Khajura masuro 3",Lens culinaris,Legumes and Pulses,Lentil,Khajura masuro 3,,,,Raw,100 g edible part,100,0,1.05,28.50,353.00,10.50,25.10,1.00,2.60,3.70,57.10,,56.00,7.50,450.00,905.00,10.00,3.20,25.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.5,HIGH,FALSE,
NFD-00040,"Red kidney bean, Local",Phaseolus vulgaris,Legumes and Pulses,Kidney bean,Local,,,,Raw,100 g edible part,100,0,1.85,380.00,333.00,11.20,22.50,1.30,3.80,4.80,56.40,,140.00,8.20,410.00,1406.00,12.00,2.70,15.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.6,HIGH,FALSE,
NFD-00041,"Red Kidney bean, PDR 14",Phaseolus vulgaris,Legumes and Pulses,Kidney bean,PDR 14,,,,Raw,100 g edible part,100,0,1.82,395.00,335.00,11.00,22.80,1.35,3.85,4.85,56.15,,145.00,8.40,415.00,1420.00,12.50,2.75,16.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.7,HIGH,FALSE,
NFD-00042,"Black gram, Local",Vigna mungo,Legumes and Pulses,Black gram,Local,,,,Raw,100 g edible part,100,0,1.18,42.00,341.00,10.80,24.00,1.40,3.40,3.50,56.90,,154.00,7.50,385.00,983.00,38.00,3.00,38.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.8,HIGH,FALSE,
NFD-00043,"Horse gram, Local brown",Macrotyloma uniflorum,Legumes and Pulses,Horse gram,Local brown,,,,Raw,100 g edible part,100,0,1.35,36.00,321.00,11.50,22.00,0.50,3.20,5.30,57.50,,287.00,6.70,311.00,780.00,11.50,2.40,22.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.9,HIGH,FALSE,
NFD-00044,"Horse gram, Local black",Macrotyloma uniflorum,Legumes and Pulses,Horse gram,Local black,,,,Raw,100 g edible part,100,0,1.32,37.50,323.00,11.30,22.40,0.55,3.25,5.35,57.15,,290.00,6.90,315.00,790.00,11.80,2.45,24.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.10,HIGH,FALSE,
NFD-00045,String beans,Phaseolus vulgaris,Legumes and Pulses,String bean,Local,,,,Raw,100 g edible part,100,0,1.40,220.00,330.00,11.80,21.50,1.20,3.50,4.20,57.80,,120.00,7.00,380.00,1250.00,15.00,2.50,28.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.11,HIGH,FALSE,
NFD-00046,Cow pea,Vigna unguiculata,Legumes and Pulses,Cowpea,Local,,,,Raw,100 g edible part,100,0,1.30,135.00,343.00,11.00,24.10,1.30,3.40,3.80,56.40,,110.00,8.27,424.00,1112.00,16.00,3.37,32.00,ND,100 g edible part,Nepal Food Composition Database,2024,"29, 30","Table 3.1, Table 3.2",Figure 3.12,HIGH,FALSE,
NFD-00047,"Potato, MS-42-3",Solanum tuberosum,Potato and Tubers,Potato,MS-42-3,Lalitpur,,,Raw,100 g edible part,81.71,18.29,2.33,,81.00,77.98,1.28,0.35,0.70,0.78,18.91,0.46,9.21,0.62,55.19,460.25,3.87,0.33,216.67,29.94,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.1,HIGH,FALSE,
NFD-00048,"Potato, Janakdev",Solanum tuberosum,Potato and Tubers,Potato,Janakdev,Lalitpur,,,Raw,100 g edible part,86.88,13.12,1.94,,64.00,82.33,1.33,0.08,0.73,0.59,14.95,0.41,9.95,0.54,47.18,461.14,3.95,0.29,186.67,25.64,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.2,HIGH,FALSE,
NFD-00049,"Potato, Khumal upahar",Solanum tuberosum,Potato and Tubers,Potato,Khumal upahar,Lalitpur,,,Raw,100 g edible part,97.72,2.28,1.17,,71.00,80.57,1.59,0.08,0.73,0.55,16.48,0.36,9.37,0.50,45.35,453.83,4.01,0.36,187.33,26.30,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.3,HIGH,FALSE,
NFD-00050,"Sweet potato, Suntale 1",Ipomoea batatas,Potato and Tubers,Tubers,Suntale 1,Lalitpur,,,Raw,100 g edible part,97.50,2.50,3.36,,102.00,70.45,1.21,0.38,1.08,1.28,25.60,0.89,31.40,0.26,35.43,345.75,24.46,0.14,7978.67,22.63,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.4,HIGH,FALSE,
NFD-00051,"Sweet potato, Bensishar white",Ipomoea batatas,Potato and Tubers,Tubers,Bensishar white,Lalitpur,,,Raw,100 g edible part,97.31,2.69,3.39,,112.00,69.25,0.89,0.29,0.95,0.88,27.74,0.87,24.89,0.30,35.40,346.26,25.75,0.16,396.00,10.56,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.5,HIGH,FALSE,
NFD-00052,"Sweet potato, Kimichaur seto",Ipomoea batatas,Potato and Tubers,Tubers,Kimichaur seto,Lalitpur,,,Raw,100 g edible part,97.43,2.57,4.55,,106.00,70.11,1.33,0.23,1.30,0.97,26.05,0.85,25.97,0.41,36.87,347.99,26.52,0.16,424.67,10.23,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.6,HIGH,FALSE,
NFD-00053,"Elephant yam, Elephant yam",Amorphophallus paeoniifolius,Potato and Tubers,Tubers,Elephant yam,Pokhara,,,Raw,100 g edible part,89.69,10.31,,,79.00,76.73,0.78,0.10,1.15,1.02,20.22,0.47,42.87,0.64,33.13,494.91,15.61,0.28,527.00,16.49,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.7,HIGH,FALSE,
NFD-00054,Chayote root,Sechium edule,Potato and Tubers,Tubers,,Dhankutta,,,Raw,100 g edible part,93.63,6.37,2.04,,106.00,72.21,0.62,0.14,1.26,0.42,25.35,0.43,34.71,1.12,62.01,379.62,12.63,0.15,491.33,6.95,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.8,HIGH,FALSE,
NFD-00055,Taro,Colocasia esculenta,Potato and Tubers,Tubers,,Pokhara,,,Raw,100 g edible part,80.64,19.36,,,83.00,73.86,1.47,0.28,1.49,1.04,21.87,1.36,53.56,0.87,52.16,435.31,12.29,0.19,292.67,13.77,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.9,HIGH,FALSE,
NFD-00056,Cassava,Manihot esculenta,Potato and Tubers,Tubers,,Udaypur,,,Raw,100 g edible part,84.74,15.26,8.41,,133.00,64.27,1.56,0.35,0.55,0.66,32.61,0.32,20.66,0.49,43.11,353.46,10.15,0.38,312.67,10.24,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.10,HIGH,FALSE,
NFD-00057,"Beet root, Local",Beta vulgaris L.,Potato and Tubers,Tubers,Local,Kailali,,,Raw,100 g edible part,87.33,12.67,0.98,,30.00,86.76,1.98,0.21,1.41,1.65,7.98,3.31,17.25,0.72,37.45,313.19,62.19,0.31,20.00,5.38,100 g edible part,Nepal Food Composition Database,2024,"28, 32, 32","Table 4.1, Table 4.2, Table 4.3",Figure 4.11,HIGH,FALSE,
NFD-00058,"Pear, Sandy pear",Pyrus pyrifolia,Fruits,,Sandy pear,Kathmandu,,,Raw,100 g edible part,69.52,30.48,0.79,,58.00,84.35,0.51,0.17,0.13,0.19,13.06,4.86,16.79,0.56,3.41,102.79,1.50,0.09,86.67,6.77,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.1,HIGH,FALSE,
NFD-00059,"Sweet orange, Sthaniya junar",Citrus sinensis,Fruits,,Sthaniya junar,Sindhuli,,,Raw,100 g edible part,69.46,30.54,0.95,,41.00,85.60,0.80,0.09,0.35,1.08,12.07,4.25,40.31,0.59,32.86,160.26,1.30,0.04,854.67,88.91,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.2,HIGH,FALSE,
NFD-00060,"Sweet Orange, Washington novel",Citrus sinensis,Fruits,,Washington novel,Dhankutta,,,Raw,100 g edible part,76.62,23.38,1.01,,41.00,85.64,0.47,0.10,0.52,1.25,12.02,4.43,38.36,0.46,30.57,161.03,1.56,0.04,890.00,85.76,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.3,HIGH,TRUE,Spelling variation: Orange vs orange.
NFD-00061,"Mandarin orange, Khoku 1",Citrus reticulata,Fruits,,Khoku 1,Dhankutta,,,Raw,100 g edible part,65.63,34.37,0.89,,45.00,87.19,0.57,0.10,0.36,0.61,11.17,3.90,27.19,0.30,17.54,159.72,1.47,0.03,1130.67,59.69,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.4,HIGH,TRUE,Spelling variation in figure: Mandarine orange
NFD-00062,"Mandarin orange, 95 OKEJU",Citrus reticulata,Fruits,,95 OKEJU,Dhankutta,,,Raw,100 g edible part,71.30,28.70,0.78,,44.00,86.93,0.99,0.11,0.42,0.74,10.81,3.96,27.59,0.63,21.32,161.81,1.61,0.05,1028.67,58.99,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.5,HIGH,TRUE,Spelling variation in figure: Mandarine orange
NFD-00063,"Apple, Fuji",Malus pumila,Fruits,,Fuji,Jumla,,,Raw,100 g edible part,90.97,9.03,0.84,,55.00,82.22,0.18,0.56,0.37,1.25,15.41,7.35,9.95,0.29,9.81,106.23,1.44,0.07,198.78,2.77,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.6,HIGH,FALSE,
NFD-00064,"Apple, Golden",Malus pumila,Fruits,,Golden,Jumla,,,Raw,100 g edible part,89.08,10.92,0.89,,49.00,84.43,0.40,0.60,0.25,1.31,13.02,6.53,8.31,0.21,8.77,94.71,1.57,0.09,181.00,3.61,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",5.7,HIGH,FALSE,"Figure caption is just '5.7 Apple, Golden' in text"
NFD-00065,"Mango, Dashera",Mangifera indica,Fruits,,Dashera,Sarlahi,,,Raw,100 g edible part,54.29,45.71,1.55,,67.00,83.96,0.54,0.20,0.41,0.10,14.79,7.36,16.31,0.25,12.73,132.82,1.29,0.97,1483.00,34.15,100 g edible part,Nepal Food Composition Database,2024,"33, 39, 39","Table 5.1, Table 5.2, Table 5.3",Figure 5.8,HIGH,FALSE,
