food_id,figure_number,figure_caption,pdf_page,image_file,image_description,photograph_mapping_confidence,source_document,source_year,notes
NFD-00050,Figure 4.4,"Figure 4.4 Sweet potato, Suntale 1",38,,"Shows whole sweet potato and long-section",HIGH,Nepal Food Composition Database,2024,
NFD-00051,Figure 4.5,"Figure 4.5 Sweet potato, Bensishar white",38,,"Shows whole sweet potato and long-section",HIGH,Nepal Food Composition Database,2024,
NFD-00052,Figure 4.6,"Figure 4.6 Sweet potato, Kimichaur seto",38,,"Shows whole sweet potato and long-section",HIGH,Nepal Food Composition Database,2024,
NFD-00053,Figure 4.7,"Figure 4.7 Elephant yam, Elephant yam",39,,"Shows whole elephant yam and cross-section",HIGH,Nepal Food Composition Database,2024,
NFD-00054,Figure 4.8,"Figure 4.8 Chayote root",39,,"Shows whole chayote roots and cross-sections",HIGH,Nepal Food Composition Database,2024,
NFD-00055,Figure 4.9,"Figure 4.9 Taro",39,,"Shows a cluster of taro roots",HIGH,Nepal Food Composition Database,2024,
NFD-00056,Figure 4.10,"Figure 4.10 Cassava",40,,"Shows whole cassava and long-section",HIGH,Nepal Food Composition Database,2024,
NFD-00057,Figure 4.11,"Figure 4.11 Beet root, Local",40,,"Shows whole beet root and cross-sections",HIGH,Nepal Food Composition Database,2024,
NFD-00058,Figure 5.1,"Figure 5.1 Pear, Sandy pear",43,,"Shows whole pear and cut pieces",HIGH,Nepal Food Composition Database,2024,
NFD-00059,Figure 5.2,"Figure 5.2 Sweet orange, Sthaniya junar",43,,"Shows whole sweet orange and sliced sections",HIGH,Nepal Food Composition Database,2024,
NFD-00060,Figure 5.3,"Figure 5.3 Sweet orange, Washington novel",43,,"Shows whole sweet orange and sliced sections",HIGH,Nepal Food Composition Database,2024,
NFD-00061,Figure 5.4,"Figure 5.4 Mandarine orange, Khoku 1",44,,"Shows whole mandarin orange and sliced sections",HIGH,Nepal Food Composition Database,2024,Spelling differs (Mandarin vs Mandarine)
NFD-00062,Figure 5.5,"Figure 5.5 Mandarine orange, 95 OKEJU",44,,"Shows whole mandarin orange and sliced sections",HIGH,Nepal Food Composition Database,2024,Spelling differs (Mandarin vs Mandarine)
NFD-00063,Figure 5.6,"Figure 5.6 Apple, Fuji",44,,"Shows whole apple and sliced sections",HIGH,Nepal Food Composition Database,2024,
NFD-00064,5.7,"5.7 Apple, Golden",45,,"Shows whole apple and sliced sections",HIGH,Nepal Food Composition Database,2024,Caption missing "Figure" prefix
NFD-00065,Figure 5.8,"Figure 5.8 Mango, Dashera",45,,"Shows sliced mango halves",HIGH,Nepal Food Composition Database,2024,
NFD-00066,Figure 5.9,"Figure 5.9 Mango, Bombay",45,,"Shows sliced mango halves",HIGH,Nepal Food Composition Database,2024,
NFD-00067,Figure 5.10,"Figure 5.10 Lychee, Seedless",46,,"Shows whole lychees and peeled/seeded parts",HIGH,Nepal Food Composition Database,2024,"Caption in image reads ""Litchi Seedless"", but figure text matches table."
NFD-00068,Figure 5.11,"Figure 5.11 Lychee, Patharia red",46,,"Shows whole lychees and peeled/seeded parts",HIGH,Nepal Food Composition Database,2024,"Caption in image reads ""Litchi Pathariya Red"", but figure text matches table."
NFD-00069,Figure 5.12,"Figure 5.12 Banana, G9",46,,"Shows two whole bananas",HIGH,Nepal Food Composition Database,2024,
NFD-00070,Figure 5.13,"Figure 5.13 Papaya, Local",46,,"Shows whole papaya and sliced halves",HIGH,Nepal Food Composition Database,2024,
NFD-00071,Figure 5.14,"Figure 5.14 Goose berry",46,,"Shows whole gooseberries",HIGH,Nepal Food Composition Database,2024,Spelling differs (Gooseberry vs Goose berry)
NFD-00072,Figure 5.15,"Figure 5.15 Guava, Local",47,,"Shows whole guava and sliced halves",HIGH,Nepal Food Composition Database,2024,
NFD-00073,Figure 5.16,"Figure 5.16 Strawberry, Tochiotome",47,,"Shows whole strawberries and sliced pieces",HIGH,Nepal Food Composition Database,2024,Spelling differs (Tochimeto vs Tochiotome)
NFD-00074,Figure 5.17,"Figure 5.17 Watermelon, Local",47,,"Shows whole watermelon and sliced half",HIGH,Nepal Food Composition Database,2024,
NFD-00075,Figure 5.18,"Figure 5.18 Chilly, Akbare",50,,"Shows several red and green Akbare chillies in a glass dish",HIGH,Nepal Food Composition Database,2024,All vegetable figures are mis-prefixed as 5.x instead of 6.x
NFD-00076,Figure 5.19,"Figure 5.19 Yard Long Bean",50,,"Shows a curled yard long bean",HIGH,Nepal Food Composition Database,2024,
NFD-00077,Figure 5.20,"Figure 5.20 Cucumber",50,,"Shows whole cucumber and sliced halves",HIGH,Nepal Food Composition Database,2024,
NFD-00078,Figure 5.21,"Figure 5.21 Pumpkin, Round",50,,"Shows whole round pumpkin and a sliced portion",HIGH,Nepal Food Composition Database,2024,
NFD-00079,Figure 5.22,"Figure 5.22 Fiddlehead",51,,"Shows fiddlehead ferns whole and chopped in a dish",HIGH,Nepal Food Composition Database,2024,
NFD-00080,Figure 5.23,"Figure 5.23 Pumpkin, Madale",51,,"Shows whole Madale pumpkin and a long-section slice",HIGH,Nepal Food Composition Database,2024,
NFD-00081,Figure 5.24,"Figure 5.24 Black mustard",51,,"Shows black mustard plant stems and leaves",HIGH,Nepal Food Composition Database,2024,
NFD-00082,Figure 5.25,"Figure 5.25 Garden cresh",52,,"Shows garden cresh sprigs whole and chopped in a dish",HIGH,Nepal Food Composition Database,2024,
NFD-00083,Figure 5.26,"Figure 5.26 Spinach",52,,"Shows spinach leaves whole and chopped in a dish",HIGH,Nepal Food Composition Database,2024,
NFD-00084,Figure 5.27,"Figure 5.27 cabbage, green coronet",52,,"Shows whole cabbage and sliced halves",HIGH,Nepal Food Composition Database,2024,
NFD-00085,Figure 5.28,"Figure 5.28 Cauliflower,khumal jyapu",53,,"Shows whole cauliflower and separated florets",HIGH,Nepal Food Composition Database,2024,Space missing in caption
NFD-00086,Figure 5.29,"Figure 5.29 Cauliflower, Kathmandu local",53,,"Shows whole cauliflower and separated florets",HIGH,Nepal Food Composition Database,2024,
NFD-00087,Figure 5.30,"Figure 5.30 Raddish, Nino aril",53,,"Shows whole white radish and long-sections",HIGH,Nepal Food Composition Database,2024,Spelling differs (Nino arli vs Nino aril)
NFD-00088,Figure 5.31,"Figure 5.31 Raddish, Peuthane rato mula",54,,"Shows whole red radish and long-sections",HIGH,Nepal Food Composition Database,2024,Spelling differs (Piuthane vs Peuthane)
NFD-00089,Figure 5.32,"Figure 5.32 Chayote",54,,"Shows whole chayote and cut sections",HIGH,Nepal Food Composition Database,2024,
NFD-00090,Figure 5.33,"Figure 5.33 Bottle gourd",54,,"Shows whole bottle gourd and cut sections",HIGH,Nepal Food Composition Database,2024,
NFD-00091,Figure 5.34,"Figure 5.34 Colocasia tender Leaves",55,,"Shows colocasia leaves and stems",HIGH,Nepal Food Composition Database,2024,
NFD-00092,Figure 5.35,"Figure 5.35 Mustard green",55,,"Shows mustard green leaves whole and chopped in a dish",HIGH,Nepal Food Composition Database,2024,
NFD-00093,Figure 5.36,"Figure 5.36 Pumpkin tender leaves",55,,"Shows pumpkin tender leaves and stems",HIGH,Nepal Food Composition Database,2024,
NFD-00094,Figure 5.37,"Figure 5.37 Chayote tender leaves",55,,"Shows chayote tender leaves and stems",HIGH,Nepal Food Composition Database,2024,
NFD-00095,Figure 5.38,"Figure 5.38 Tomato, srijana",56,,"Shows whole Srijana tomato and sliced halves",HIGH,Nepal Food Composition Database,2024,
NFD-00096,Figure 5.39,"Figure 5.39 Brinjal, Parwanipur 1",56,,"Shows whole brinjal and long-section slices",HIGH,Nepal Food Composition Database,2024,
NFD-00097,Figure 5.40,"Figure 5.40 Asparagas",56,,"Shows asparagus spears",HIGH,Nepal Food Composition Database,2024,
NFD-00098,Figure 5.41,"Figure 5.41 Tomato, Khumal 2",56,,"Shows whole Khumal 2 tomato and sliced halves",HIGH,Nepal Food Composition Database,2024,
NFD-00099,Figure 5.42,"Figure 5.42 Bitter gourd, patle",56,,"Shows whole bitter gourd and cross-section slices",HIGH,Nepal Food Composition Database,2024,
NFD-00100,Figure 5.43,"Figure 5.43 Sponge gourd, New Narayani",57,,"Shows whole sponge gourd and cross-section slices",HIGH,Nepal Food Composition Database,2024,
